region	dm_method	model	predictors_dict	selected_predictors	features_importance	fscore. mean	recall. mean
lSTS	WFS	SVM	['SpeechActivity_I', 'Gaze_movement_energy_P', 'ReactionTime_I', 'Gaze_speed_P', 'SpeechRate_P', 'SpeechRate_I', 'AU_all_I', 'AUs_mouth_I', 'Saccades_P', 'AU_eyes_I', 'Happy_I', 'SpeechActivity_P', 'Neutral_I']	['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'SpeechRate_P_t6', 'SpeechRate_P_t5', 'SpeechRate_P_t4', 'SpeechRate_P_t3', 'IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'ReactionTime_I_t3', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'AU_all_I_t3', 'Happy_I_t6', 'Happy_I_t5', 'Happy_I_t4', 'Happy_I_t3', 'Neutral_I_t6', 'Neutral_I_t5', 'Neutral_I_t4', 'Neutral_I_t3', 'Gaze_speed_P_t6', 'Gaze_speed_P_t5', 'Gaze_speed_P_t4', 'Gaze_speed_P_t3', 'Gaze_movement_energy_P_t6', 'Gaze_movement_energy_P_t5', 'Gaze_movement_energy_P_t4', 'Gaze_movement_energy_P_t3', 'Saccades_P_t6', 'Saccades_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Face_looks_P_t6', 'Face_looks_P_t5', 'Face_looks_P_t4', 'Face_looks_P_t3', 'Eyes_looks_P_t6', 'Eyes_looks_P_t5']	[0.18, 0.14, 0.14, 0.1, 0.07, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.02]	0.68	0.68
lSTS	WFS	LREG	['SpeechActivity_I', 'SpeechActivity_P']	['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'IPU_I_t4', 'IPU_I_t3']	[0.81, 0.19]	0.68	0.69
lSTS	WFS	RF	['SpeechActivity_I', 'Overlap_I']	['IPU_I_t6', 'IPU_I_t4', 'IPU_I_t3', 'Overlap_I_t3']	[0.9, 0.1]	0.69	0.69
rAMG	k_medoids	SVM	['AUs_mouth_I', 'SpeechActivity_P']	['IPU_P_t6', 'IPU_P_t5', 'AUs_mouth_I_t4', 'IPU_P_t4', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5']	[0.69, 0.31]	0.61	0.61
rAMG	k_medoids	LREG	['AUs_mouth_I', 'ReactionTime_I', 'Saccades_P', 'AU_eyes_I', 'ReactionTime_P', 'SpeechActivity_P', 'Overlap_I', 'AU_all_I', 'Subjectivity_I', 'Eyes_looks_P', 'SpeechActivity_I', 'SpeechRate_I', 'Sad_I', 'Polarity_I', 'Neutral_I', 'LexicalRichness_I', 'Gaze_speed_P', 'Feedbacks_P', 'Face_looks_P', 'Angry_I', 'TypeTokenRatio_P', 'UnionSocioItems_I', 'UnionSocioItems_P']	['Overlap_I_t6', 'Overlap_I_t5', 'Angry_I_t6', 'AU_all_I_t3', 'AU_all_I_t4', 'AU_all_I_t5', 'AU_all_I_t6', 'AU_eyes_I_t3', 'ReactionTime_P_t6', 'UnionSocioItems_P_t5', 'ReactionTime_P_t5', 'UnionSocioItems_P_t4', 'ReactionTime_P_t4', 'ReactionTime_P_t3', 'UnionSocioItems_P_t6', 'AU_eyes_I_t4', 'AUs_mouth_I_t3', 'AUs_mouth_I_t4', 'AUs_mouth_I_t5', 'AUs_mouth_I_t6', 'Feedbacks_P_t4', 'Saccades_P_t3', 'Feedbacks_P_t5', 'Saccades_P_t4', 'Saccades_P_t5', 'IPU_I_t3', 'disc_IPU_I_t3', 'Subjectivity_I_t4', 'Subjectivity_I_t5', 'Subjectivity_I_t6', 'Saccades_P_t6', 'Sad_I_t5', 'Sad_I_t6', 'Sad_I_t3', 'Eyes_looks_P_t3', 'TypeTokenRatio_P_t6', 'LexicalRichness_P_t5', 'TypeTokenRatio_P_t5', 'LexicalRichness_P_t4', 'TypeTokenRatio_P_t4', 'Feedbacks_P_t3', 'UnionSocioItems_I_t3', 'LexicalRichness_I_t3', 'UnionSocioItems_I_t4', 'LexicalRichness_I_t4', 'SpeechRate_I_t4', 'UnionSocioItems_I_t5', 'SpeechRate_I_t5', 'UnionSocioItems_I_t6', 'IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'ReactionTime_I_t3', 'Gaze_speed_P_t6', 'ReactionTime_I_t4', 'Gaze_speed_P_t3', 'ReactionTime_I_t5', 'ReactionTime_I_t6', 'Sad_I_t4', 'Eyes_looks_P_t4', 'Overlap_I_t3', 'Overlap_I_t4', 'Angry_I_t4', 'Polarity_I_t3', 'Neutral_I_t5', 'Angry_I_t3', 'Polarity_I_t5', 'Neutral_I_t6', 'Neutral_I_t3', 'Face_looks_P_t4', 'Face_looks_P_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'Angry_I_t5', 'AU_eyes_I_t5', 'IPU_I_t5', 'IPU_I_t6', 'disc_IPU_P_t4', 'AU_eyes_I_t6', 'IPU_I_t4', 'Feedbacks_P_t6']	[0.12, 0.09, 0.08, 0.07, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02]	0.64	0.64
rAMG	mi_rank	RF	['Neutral_I', 'AU_all_I', 'AUs_mouth_I', 'SpeechActivity_P', 'AU_eyes_I', 'Happy_I', 'Saccades_P', 'Face_looks_P', 'SpeechActivity_I', 'SpeechRate_P', 'Sad_I']	['Happy_I_t6', 'Saccades_P_t3', 'Happy_I_t5', 'SpeechRate_P_t6', 'SpeechRate_P_t4', 'disc_IPU_P_t3', 'IPU_I_t5', 'disc_IPU_P_t6', 'Sad_I_t4', 'Face_looks_P_t4', 'disc_IPU_P_t5', 'Sad_I_t6', 'Sad_I_t5', 'Saccades_P_t6', 'disc_IPU_P_t4', 'IPU_P_t3', 'IPU_I_t4', 'IPU_P_t6', 'Face_looks_P_t3', 'Sad_I_t3', 'IPU_P_t5', 'IPU_P_t4', 'AU_all_I_t4', 'AU_all_I_t6', 'AU_all_I_t3', 'AU_all_I_t5', 'Neutral_I_t4', 'AU_eyes_I_t4', 'Neutral_I_t3', 'AU_eyes_I_t5', 'Neutral_I_t6', 'Neutral_I_t5', 'AU_eyes_I_t3', 'AU_eyes_I_t6', 'AUs_mouth_I_t4', 'AUs_mouth_I_t5', 'AUs_mouth_I_t3', 'AUs_mouth_I_t6']	[0.18, 0.14, 0.14, 0.13, 0.1, 0.08, 0.08, 0.07, 0.04, 0.04, 0.02]	0.61	0.61
rSTS	mi_rank	LREG	['SpeechActivity_I', 'SpeechActivity_P']	['IPU_P_t5', 'IPU_P_t6', 'IPU_P_t4', 'IPU_P_t3', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3']	[0.79, 0.21]	0.7	0.7
rSTS	mi_rank	RF	['SpeechActivity_I']	['IPU_I_t4', 'IPU_I_t3']	[1.0]	0.67	0.66
lAMG	mi_rank	SVM	['SpeechActivity_I', 'ReactionTime_I', 'Polarity_I', 'Overlap_I', 'AU_eyes_I', 'Eyes_looks_P', 'AU_all_I', 'AUs_mouth_I', 'Smiles_I', 'SpeechRate_I', 'Neutral_I', 'SpeechActivity_P', 'Happy_I', 'Mouth_looks_P', 'Face_looks_P', 'TypeTokenRatio_I']	['SpeechRate_I_t5', 'Neutral_I_t4', 'Gaze_speed_P_t5', 'Face_looks_P_t5', 'Smiles_I_t4', 'ReactionTime_P_t4', 'IPU_P_t4', 'disc_IPU_I_t5', 'Mouth_looks_P_t6', 'Gaze_movement_energy_P_t5', 'Smiles_I_t5', 'TypeTokenRatio_I_t4', 'Neutral_I_t3', 'ReactionTime_I_t5', 'Polarity_I_t5', 'TypeTokenRatio_I_t5', 'Smiles_I_t3', 'Neutral_I_t5', 'Overlap_I_t5', 'SpeechRate_I_t4', 'Happy_I_t4', 'IPU_I_t6', 'Happy_I_t5', 'Eyes_looks_P_t3', 'disc_IPU_I_t4', 'IPU_P_t3', 'Smiles_I_t6', 'Happy_I_t6', 'AUs_mouth_I_t4', 'AU_all_I_t6', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AU_all_I_t5', 'IPU_I_t5', 'AU_eyes_I_t3', 'IPU_I_t4', 'AU_all_I_t4', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AUs_mouth_I_t3', 'AU_all_I_t3', 'AU_eyes_I_t6']	[0.17, 0.11, 0.1, 0.09, 0.08, 0.06, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04, 0.03, 0.03, 0.02, 0.02]	0.61	0.62
lAMG	WFS	RF	['Gaze_speed_P', 'Gaze_movement_energy_P']	['Gaze_speed_P_t6', 'Gaze_speed_P_t5', 'Gaze_speed_P_t4', 'Gaze_speed_P_t3', 'Gaze_movement_energy_P_t5', 'Gaze_movement_energy_P_t4', 'Gaze_movement_energy_P_t3']	[0.57, 0.43]	0.58	0.63
