region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	recall. mean	fscore. mean	accuracy. std	recall. std	fscore. std	K-Fscores	nb_predictors
Cerebellar.Anterior	k_medoids	6	{'random_state': 5, 'n_estimators': 50, 'max_features': 'auto', 'max_depth': 5, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['IPU_P']	['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4']	0.5379269897860331	0.55	0.55	0.039730103860673764	0.08150139186710997	0.042965434627149225	0.563194323334496,0.4604745547652747,0.5603029062380426,0.5124578949073951,0.5340310623645814,0.5654507866154003,0.6289401010651867,0.5519090229052448,0.5303785650743533	1
Cerebellar.Posterior	k_medoids	6	{'random_state': 5, 'n_estimators': 10, 'max_features': 'auto', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['Happy_I', 'Smiles_I', 'Neutral_I', 'IPU_P', 'LexicalRichness_P', 'Feedbacks_P']	['IPU_P_t6', 'Smiles_I_t6', 'Smiles_I_t5', 'Happy_I_t6', 'Happy_I_t5', 'Neutral_I_t4', 'Neutral_I_t3', 'IPU_P_t4', 'Feedbacks_P_t5', 'LexicalRichness_P_t4', 'Smiles_I_t4', 'Smiles_I_t3', 'Happy_I_t4', 'Happy_I_t3', 'Neutral_I_t6']	0.5281474088079147	0.57	0.55	0.02001728817646292	0.11331273613864848	0.03845123346688635	0.5748905127494858,0.5212041054791597,0.5398144581436696,0.5094160717714206,0.5404886008824816,0.5650810246432612,0.5010888061750143,0.535247913054557,0.6352255369407198	6
DefaultMode.LP_L	k_medoids	6	{'random_state': 5, 'n_estimators': 10, 'max_features': 'auto', 'max_depth': 5, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['disc_IPU_I', 'Blinks_P', 'Feedbacks_P', 'disc_IPU_P', 'Pupil_area_P', 'AUs_mouth_I', 'SpeechRate_I', 'ReactionTime_I', 'Overlap_I', 'ReactionTime_P', 'IPU_P', 'UnionSocioItems_I', 'TypeTokenRatio_P', 'Saccades_P', 'AU_eyes_I', 'UnionSocioItems_P', 'Smiles_I', 'Subjectivity_I', 'Feedbacks_I', 'IPU_I', 'Sad_I', 'LexicalRichness_P']	['AU_eyes_I_t5', 'Sad_I_t5', 'IPU_I_t4', 'disc_IPU_I_t4', 'ReactionTime_P_t6', 'UnionSocioItems_P_t6', 'Subjectivity_I_t4', 'IPU_P_t3', 'IPU_I_t6', 'IPU_I_t5', 'IPU_I_t3', 'disc_IPU_I_t3', 'AU_eyes_I_t6', 'Saccades_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Blinks_P_t3', 'Saccades_P_t6', 'UnionSocioItems_P_t3', 'Subjectivity_I_t5', 'AU_eyes_I_t3', 'IPU_P_t6', 'IPU_P_t5', 'disc_IPU_P_t4', 'IPU_P_t4', 'ReactionTime_I_t6', 'ReactionTime_I_t5', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'AUs_mouth_I_t6', 'Feedbacks_P_t5', 'TypeTokenRatio_P_t5', 'Feedbacks_P_t6', 'Feedbacks_P_t3', 'LexicalRichness_P_t3', 'Feedbacks_P_t4', 'LexicalRichness_P_t4', 'Feedbacks_I_t3', 'UnionSocioItems_I_t3', 'Overlap_I_t6', 'SpeechRate_I_t6', 'Overlap_I_t3', 'SpeechRate_I_t3', 'Overlap_I_t4', 'Smiles_I_t6', 'Pupil_area_P_t6', 'Smiles_I_t5', 'Pupil_area_P_t5', 'Overlap_I_t5', 'Feedbacks_I_t4', 'UnionSocioItems_I_t4']	0.534457579651412	0.62	0.56	0.028061943406678624	0.041679217101862266	0.0421121014084865	0.5793786289799246,0.545787781180503,0.6116055780657136,0.45480918800046516,0.5537988769722826,0.5361124766681105,0.5601736938372861,0.574535632207074,0.5909023506830036	22
DefaultMode.LP_R	k_medoids	6	{'random_state': 5, 'n_estimators': 10, 'max_features': 'auto', 'max_depth': 1000, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['disc_IPU_I', 'Blinks_P', 'Feedbacks_P', 'disc_IPU_P', 'Subjectivity_P', 'Gaze_movement_quantity_P', 'AUs_mouth_I', 'SpeechRate_I', 'ReactionTime_I', 'Neutral_I', 'Overlap_I', 'ReactionTime_P', 'IPU_P', 'Polarity_I', 'UnionSocioItems_I', 'Happy_I', 'TypeTokenRatio_P', 'LexicalRichness_P', 'Saccades_P', 'AU_all_I', 'AU_eyes_I', 'TypeTokenRatio_I', 'UnionSocioItems_P', 'Smiles_I', 'Feedbacks_I', 'LexicalRichness_I', 'IPU_I', 'Subjectivity_I']	['AU_eyes_I_t5', 'AU_eyes_I_t4', 'IPU_I_t4', 'ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t3', 'Subjectivity_I_t4', 'IPU_P_t3', 'IPU_I_t6', 'IPU_I_t5', 'disc_IPU_I_t5', 'TypeTokenRatio_I_t5', 'IPU_I_t3', 'AU_eyes_I_t6', 'Saccades_P_t5', 'Blinks_P_t5', 'Saccades_P_t4', 'Blinks_P_t4', 'Saccades_P_t3', 'Blinks_P_t3', 'Saccades_P_t6', 'UnionSocioItems_P_t3', 'Subjectivity_I_t5', 'AU_eyes_I_t3', 'IPU_P_t6', 'IPU_P_t5', 'Subjectivity_P_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'IPU_P_t4', 'ReactionTime_I_t6', 'ReactionTime_I_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'Polarity_I_t6', 'Happy_I_t5', 'Happy_I_t3', 'Neutral_I_t3', 'AUs_mouth_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'AU_all_I_t3', 'Feedbacks_P_t5', 'Feedbacks_P_t6', 'Feedbacks_P_t3', 'TypeTokenRatio_P_t3', 'Feedbacks_P_t4', 'LexicalRichness_P_t4', 'TypeTokenRatio_P_t4', 'Feedbacks_I_t3', 'UnionSocioItems_I_t3', 'Overlap_I_t6', 'LexicalRichness_I_t5', 'SpeechRate_I_t6', 'Overlap_I_t3', 'SpeechRate_I_t3', 'Overlap_I_t4', 'Gaze_movement_quantity_P_t4', 'Smiles_I_t6', 'Smiles_I_t5', 'Overlap_I_t5', 'UnionSocioItems_I_t5', 'Feedbacks_I_t4', 'UnionSocioItems_I_t4']	0.5140275122390698	0.67	0.55	0.02165149398805616	0.08128337363568168	0.02760625687279236	0.5720511656171544,0.5306171762855978,0.5647246615069381,0.5600299418007163,0.5713046008998909,0.5380666970045935,0.4827980546583796,0.5671597072097699,0.530136523247461	28
DefaultMode.MPFC	model_rank	6	{'random_state': 5, 'n_estimators': 300, 'max_features': 'auto', 'max_depth': 100, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['AU_eyes_I']	['AU_eyes_I_t5', 'AU_eyes_I_t4']	0.5150988488939614	0.77	0.57	0.021786993395602115	0.08405478907502162	0.07666802160733596	0.5990350813383453,0.46739531570642573,0.6148592518252126,0.5631614686331038,0.7468269345520151,0.5173667762555039,0.5490998363338789,0.50331179241087,0.5452578398267088	1
DefaultMode.PCC	model_rank	6	{'random_state': 5, 'n_estimators': 5, 'max_features': 'auto', 'max_depth': 100, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['AUs_mouth_I', 'Gaze_movement_quantity_P', 'Happy_I', 'AU_all_I', 'AU_eyes_I', 'Saccades_P', 'Pupil_area_P', 'Neutral_I']	['AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'AU_all_I_t3', 'Happy_I_t6', 'Happy_I_t5', 'Happy_I_t4', 'Happy_I_t3', 'Neutral_I_t6', 'Neutral_I_t5', 'Neutral_I_t4', 'Neutral_I_t3', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Gaze_movement_quantity_P_t3', 'Saccades_P_t6', 'Saccades_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Pupil_area_P_t3']	0.5158976030583575	0.7	0.54	0.012704892861840995	0.08518466273748007	0.04094377793874901	0.6240648285025264,0.5005184132224668,0.47274136362128816,0.540007234546434,0.560196898663231,0.506244152701799,0.5516563079175892,0.5211409911639323,0.5468943985407189	8
DorsalAttention.FEF_L	k_medoids	6	{'random_state': 5, 'n_estimators': 5, 'max_features': 'auto', 'max_depth': 5, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['Feedbacks_P', 'IPU_I', 'disc_IPU_P', 'disc_IPU_I', 'IPU_P', 'UnionSocioItems_P']	['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'disc_IPU_P_t3', 'Feedbacks_P_t4', 'UnionSocioItems_P_t3', 'IPU_I_t6', 'IPU_I_t5', 'disc_IPU_I_t6']	0.5318215682085012	0.59	0.55	0.02432448919777756	0.04753806813019753	0.030764910544064075	0.5785021130377147,0.5120049466159823,0.5701945273964494,0.5425607906275534,0.5849224502558048,0.5341406166265664,0.5985504345793795,0.536062347517348,0.5075729009023096	6
DorsalAttention.FEF_R	model_rank	6	{'random_state': 5, 'n_estimators': 300, 'max_features': 'auto', 'max_depth': 50, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['Pupil_area_P', 'AU_eyes_I']	['AU_eyes_I_t4', 'Pupil_area_P_t4']	0.5033742842669131	0.78	0.56	0.02445520509610152	0.054225403821918365	0.03664044409141607	0.587099244370752,0.5727537210278945,0.5056431270193371,0.6000391653598695,0.5160594675222335,0.5286912055811379,0.6164176868209147,0.5391445480436827,0.5464206529511862	2
DorsalAttention.IPS_L	k_medoids	6	{'random_state': 5, 'n_estimators': 50, 'max_features': 'auto', 'max_depth': 5, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['disc_IPU_P', 'IPU_P', 'IPU_I']	['IPU_P_t6', 'IPU_P_t5', 'disc_IPU_P_t5', 'IPU_I_t4', 'IPU_P_t4', 'IPU_I_t5']	0.5382786385087763	0.65	0.55	0.019266659580945682	0.06823635243723739	0.02309603617904874	0.5404614968553088,0.5413102997301849,0.5284857663514578,0.5647759562752522,0.5758906761056108,0.5104549688175029,0.5776634236013979,0.559792089908808,0.5809235322992702	3
DorsalAttention.IPS_R	mi_rank	6	{'random_state': 5, 'n_estimators': 5, 'max_features': 'auto', 'max_depth': 50, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['AU_eyes_I']	['AU_eyes_I_t3', 'AU_eyes_I_t5']	0.5070919769287056	0.66	0.53	0.017570033604567485	0.07936676677788382	0.0360128535037982	0.46767089972962755,0.5482168661248162,0.6036513931941011,0.5408515926285453,0.5296725216347471,0.5235638861527646,0.48687098953056396,0.5265391557576187,0.5235587360790939	1
FrontoParietal.LPFC_L	k_medoids	6	{'random_state': 5, 'n_estimators': 300, 'max_features': 'auto', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['ReactionTime_P', 'disc_IPU_I', 'IPU_I', 'IPU_P', 'UnionSocioItems_P', 'SpeechRate_P']	['IPU_P_t6', 'IPU_P_t5', 'ReactionTime_P_t6', 'UnionSocioItems_P_t5', 'SpeechRate_P_t6', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t3', 'IPU_P_t4', 'IPU_P_t3']	0.5206063440336537	0.64	0.55	0.012287715990543442	0.06468049887995347	0.029805623362183432	0.5416144684101445,0.5370539145059102,0.5537271181989527,0.5200412319728422,0.5374167253337505,0.5520084485639255,0.5545355189743758,0.6301682772580389,0.5342182264411084	6
FrontoParietal.LPFC_R	mi_rank	6	{'random_state': 5, 'n_estimators': 300, 'max_features': 'auto', 'max_depth': 100, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['AU_all_I']	['AU_all_I_t3', 'AU_all_I_t4']	0.5125732612431042	0.69	0.54	0.014063325646502908	0.10284850441173864	0.0477369066504424	0.5566326551774359,0.4702959749728737,0.5135969076079672,0.5392582293216065,0.5152246375809172,0.5943958057619871,0.6337490298785395,0.4947495825220147,0.5570914685247158	1
FrontoParietal.PPC_L	mi_rank	6	{'random_state': 5, 'n_estimators': 200, 'max_features': 'auto', 'max_depth': 100, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['AU_eyes_I']	['AU_eyes_I_t4', 'AU_eyes_I_t3']	0.5109502923796742	0.73	0.56	0.014268751757002669	0.04812180863025999	0.04296545031228752	0.48848150271965207,0.5243710733028324,0.6207947793010379,0.5483469500302619,0.5270379124659043,0.5571752632493566,0.6218957143978735,0.5886168071451978,0.5324441446273038	1
FrontoParietal.PPC_R	mi_rank	6	{'random_state': 5, 'n_estimators': 300, 'max_features': 'auto', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['AUs_mouth_I', 'AU_all_I', 'Face_looks_P', 'IPU_P', 'Neutral_I', 'Sad_I', 'Happy_I', 'AU_eyes_I', 'Pupil_area_P', 'disc_IPU_P']	['IPU_P_t5', 'Face_looks_P_t5', 'disc_IPU_P_t3', 'Face_looks_P_t4', 'disc_IPU_P_t4', 'Happy_I_t4', 'Pupil_area_P_t4', 'Pupil_area_P_t5', 'Pupil_area_P_t3', 'IPU_P_t3', 'IPU_P_t4', 'Pupil_area_P_t6', 'Neutral_I_t6', 'Neutral_I_t4', 'Neutral_I_t3', 'Neutral_I_t5', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t6', 'AUs_mouth_I_t3', 'Sad_I_t4', 'Sad_I_t3', 'Sad_I_t5', 'Sad_I_t6', 'AU_all_I_t5', 'AU_all_I_t6', 'AU_all_I_t4', 'AU_all_I_t3', 'AU_eyes_I_t6', 'AU_eyes_I_t3', 'AU_eyes_I_t4', 'AU_eyes_I_t5']	0.540400475950533	0.61	0.56	0.042951551420946976	0.12126026287984235	0.03664472529966306	0.5779425478293373,0.4971410778985508,0.5304151857255225,0.5193606268519342,0.5916155787955283,0.5354355724156502,0.5882074228483805,0.5775920308532492,0.6109099139882299	10
Language.IFG_L	k_medoids	6	{'random_state': 5, 'n_estimators': 100, 'max_features': 'auto', 'max_depth': 50, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['IPU_P', 'disc_IPU_P', 'IPU_I', 'Smiles_I']	['IPU_P_t6', 'IPU_P_t5', 'disc_IPU_P_t5', 'IPU_I_t4', 'Smiles_I_t6', 'IPU_P_t4', 'Smiles_I_t4']	0.5205451673518802	0.67	0.54	0.012855902024387007	0.05528831989164526	0.029718024539594007	0.5565137189448081,0.5023615378014543,0.5550545186473206,0.592658563259775,0.5346308581533168,0.586405118390934,0.5385259422455718,0.5087028164559289,0.5238208265157903	4
Language.IFG_R	model_rank	6	{'random_state': 5, 'n_estimators': 5, 'max_features': 'auto', 'max_depth': 100, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['Pupil_area_P', 'Saccades_P', 'Neutral_I', 'AUs_mouth_I', 'Gaze_movement_quantity_P', 'AU_eyes_I', 'AU_all_I']	['AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t6', 'AU_all_I_t4', 'AU_all_I_t3', 'Neutral_I_t5', 'Neutral_I_t3', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Gaze_movement_quantity_P_t3', 'Saccades_P_t3', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Pupil_area_P_t3']	0.5150532929171945	0.73	0.57	0.017693247852582118	0.1060281571382299	0.0663671619625894	0.4989254130406062,0.5361929147767162,0.6128755599856681,0.6468634622980097,0.5386577436448168,0.7006232139465651,0.5479773245151025,0.5005345223195662,0.5207670376132908	7
Language.pSTG_L	mi_rank	6	{'random_state': 5, 'n_estimators': 10, 'max_features': 'auto', 'max_depth': 5, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['IPU_I']	['IPU_I_t4', 'IPU_I_t3']	0.6229355083186093	0.6	0.61	0.027795826738631454	0.10386280622199168	0.03893053061653527	0.649567848312887,0.6049826777497871,0.6202378029256388,0.6566627181697583,0.6612735984705802,0.5317233533563331,0.584810553411449,0.6235524471773138,0.5919196791069818	1
Language.pSTG_R	mi_rank	6	{'random_state': 5, 'n_estimators': 200, 'max_features': 'auto', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['IPU_I', 'Pupil_area_P', 'disc_IPU_I', 'ReactionTime_P', 'IPU_P', 'AU_eyes_I', 'disc_IPU_P', 'Overlap_I', 'LexicalRichness_I', 'TypeTokenRatio_I', 'SpeechRate_I', 'Face_looks_P', 'Saccades_P']	['TypeTokenRatio_I_t5', 'AU_eyes_I_t4', 'Pupil_area_P_t3', 'Saccades_P_t4', 'IPU_I_t5', 'Overlap_I_t4', 'LexicalRichness_I_t4', 'Face_looks_P_t4', 'LexicalRichness_I_t3', 'disc_IPU_P_t4', 'ReactionTime_P_t3', 'IPU_P_t4', 'disc_IPU_P_t3', 'SpeechRate_I_t4', 'TypeTokenRatio_I_t4', 'SpeechRate_I_t3', 'TypeTokenRatio_I_t3', 'IPU_P_t3', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t4', 'IPU_I_t3']	0.6169011474001234	0.64	0.63	0.01961347527879256	0.04527470779781774	0.0160685310160652	0.6303441339510755,0.5967831998434767,0.6575760238086058,0.6328588416615938,0.6245492070448709,0.6380204096921958,0.6133458538600521,0.6186961533238915,0.6339695157543483	13
