region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	recall. mean	fscore. mean	accuracy. std	recall. std	fscore. std	K-Fscores	nb_predictors
LeftLatAmygdala	MI_RANK_14	6	{'random_state': 5, 'n_estimators': 5, 'max_features': 'auto', 'max_depth': 50, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['AUs_mouth_I', 'AU_all_I', 'AU_eyes_I', 'IPU_I']	['AUs_mouth_I_t4', 'AUs_mouth_I_t5', 'AU_all_I_t6', 'AUs_mouth_I_t6', 'IPU_I_t5', 'AU_all_I_t5', 'IPU_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t4', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_all_I_t3', 'AUs_mouth_I_t3', 'AU_eyes_I_t6']	0.5246551651473956	0.73	0.55	0.022981278706537087	0.07757390409217421	0.04300193897164542	0.5672246912744311,0.5810282316664179,0.45546831821443523,0.547718209441215,0.607221894807741,0.5229345942095602,0.5241326438020213,0.5919945936162788,0.5479677962589249	4
LeftPrecuneus	K_MEDOIDS_2	6	{'random_state': 5, 'n_estimators': 200, 'max_features': 'auto', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['Smiles_I', 'IPU_I', 'ReactionTime_P', 'IPU_P']	['IPU_P_t6', 'ReactionTime_P_t3', 'IPU_I_t4', 'Smiles_I_t6', 'Smiles_I_t5', 'IPU_P_t4', 'IPU_P_t3', 'Smiles_I_t4']	0.5377242179517325	0.7	0.55	0.016270046642400643	0.1457456437268563	0.05030407808404783	0.6348349723282697,0.6058755492728625,0.5601621317458363,0.5417485893435577,0.49008130152865365,0.5504001098579646,0.575070449287664,0.46408878925314145,0.5238056808253675	4
LeftSTS	MI_RANK_2	6	{'random_state': 5, 'n_estimators': 10, 'max_features': 'auto', 'max_depth': 5, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['IPU_I']	['IPU_I_t4', 'IPU_I_t3']	0.6537694766058082	0.59	0.64	0.04012367390464321	0.08189338889828461	0.043803847845253985	0.6852521257569207,0.7036887602635772,0.5996990851653304,0.6332640324583855,0.6827622439135063,0.5559349001812293,0.6245238883259188,0.6204679944591904,0.6405299330831247	1
LeftTemporoParietalJunction	K_MEDOIDS_2	6	{'random_state': 5, 'n_estimators': 300, 'max_features': 'auto', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['disc_IPU_P', 'IPU_P', 'Happy_I', 'Feedbacks_P', 'IPU_I']	['IPU_P_t6', 'disc_IPU_P_t6', 'IPU_I_t4', 'Happy_I_t6', 'Happy_I_t5', 'IPU_P_t4', 'IPU_P_t3', 'Feedbacks_P_t3', 'IPU_I_t6']	0.5402212687727808	0.58	0.56	0.020698294639841058	0.1240462668168396	0.02599428886835593	0.5080791893974893,0.5378250591016549,0.580866130490322,0.5508280340442893,0.5628772853290388,0.5961467659708027,0.5719063353296161,0.5273200393955045,0.5647298522642056	5
LeftV1	K_MEDOIDS_6	6	{'random_state': 5, 'n_estimators': 5, 'max_features': 'auto', 'max_depth': 50, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['UnionSocioItems_I', 'disc_IPU_P', 'Feedbacks_P', 'LexicalRichness_P', 'ReactionTime_P', 'UnionSocioItems_P', 'Smiles_I', 'Saccades_P', 'TypeTokenRatio_P', 'Overlap_I', 'IPU_P']	['ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t4', 'UnionSocioItems_P_t4', 'TypeTokenRatio_P_t3', 'Smiles_I_t5', 'Smiles_I_t4', 'disc_IPU_P_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'Feedbacks_P_t4', 'LexicalRichness_P_t6', 'LexicalRichness_P_t5', 'LexicalRichness_P_t4', 'Saccades_P_t6', 'IPU_P_t6', 'IPU_P_t4', 'IPU_P_t3', 'Overlap_I_t5', 'UnionSocioItems_I_t5']	0.5034962804168811	0.67	0.53	0.01496078757910896	0.0429747597054996	0.058931605567737175	0.5927423452790387,0.41751158953042433,0.5360417806399976,0.5861660363944458,0.5697425243047077,0.561038307908891,0.4649167642640084,0.47093167262304947,0.5648056794783802	11
LeftVMPFC	MI_RANK_18	6	{'random_state': 5, 'n_estimators': 5, 'max_features': 'auto', 'max_depth': 50, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['AUs_mouth_I', 'Sad_I', 'Neutral_I', 'AU_eyes_I', 'Happy_I', 'AU_all_I']	['Happy_I_t4', 'Happy_I_t6', 'Sad_I_t3', 'Neutral_I_t3', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'Sad_I_t5', 'Sad_I_t4', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AU_all_I_t6', 'AU_all_I_t5', 'AU_all_I_t3', 'AU_all_I_t4', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t3', 'AU_eyes_I_t4']	0.5120112936942021	0.71	0.55	0.014975172595103559	0.1242389750809626	0.029366229728175725	0.535084784396205,0.6013203824149191,0.5106398671121776,0.5723202113375652,0.5590502852127395,0.5861571159176393,0.5182851429599287,0.5440938813623312,0.529215655940594	6
RightLatAmygdala	MI_RANK_2	6	{'random_state': 5, 'n_estimators': 5, 'max_features': 'auto', 'max_depth': 100, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['AUs_mouth_I']	['AUs_mouth_I_t3', 'AUs_mouth_I_t6']	0.5238321129798021	0.57	0.54	0.046863328794943135	0.14151715506030693	0.07136711814893999	0.6591642954290772,0.5049414101258559,0.4393526224374306,0.5100284668172361,0.5095627846282914,0.5079264367102261,0.494819060943383,0.5786120524479523,0.6578779169526423	1
RightPrecuneus	K_MEDOIDS_2	6	{'random_state': 5, 'n_estimators': 300, 'max_features': 'auto', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['Smiles_I', 'IPU_I', 'IPU_P', 'Saccades_P']	['IPU_P_t6', 'IPU_P_t5', 'IPU_I_t4', 'IPU_I_t3', 'Smiles_I_t6', 'Smiles_I_t5', 'Saccades_P_t6', 'IPU_P_t4', 'IPU_P_t3']	0.5404412781044847	0.7	0.57	0.025159838883837674	0.09657079487097088	0.04484108973042217	0.6106561283355698,0.6144202807894606,0.5220088148245073,0.5284392850680893,0.49755639771950877,0.5660344447929753,0.6344706373371534,0.6000808206252094,0.5841777042011818	4
RightSTS	MI_RANK_18	6	{'random_state': 5, 'n_estimators': 200, 'max_features': 'auto', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['Overlap_I', 'SpeechRate_I', 'IPU_I', 'Particles_I', 'disc_IPU_I', 'LexicalRichness_I', 'Feedbacks_I', 'ReactionTime_I']	['ReactionTime_I_t3', 'disc_IPU_I_t5', 'SpeechRate_I_t4', 'Overlap_I_t3', 'IPU_I_t5', 'Feedbacks_I_t5', 'Overlap_I_t5', 'SpeechRate_I_t3', 'Overlap_I_t4', 'Feedbacks_I_t3', 'LexicalRichness_I_t6', 'Particles_I_t5', 'LexicalRichness_I_t5', 'Particles_I_t3', 'disc_IPU_I_t4', 'IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3']	0.6634911310233006	0.63	0.67	0.040913376239985776	0.07783537110148439	0.03762545971048932	0.6717969869915139,0.7312074007552731,0.6619127086342351,0.7026669996058462,0.6764560933996399,0.6315569028729414,0.6182586343273976,0.6092974212287718,0.6836078747119244	8
RightTemporoParietalJunction	K_MEDOIDS_10	6	{'random_state': 5, 'n_estimators': 300, 'max_features': 'auto', 'max_depth': 10, 'class_weight': 'balanced_subsample', 'bootstrap': True}	['UnionSocioItems_P', 'IPU_I', 'IPU_P', 'SpeechRate_P', 'Feedbacks_P', 'LexicalRichness_P', 'SpeechRate_I', 'disc_IPU_I', 'ReactionTime_P', 'disc_IPU_P']	['Feedbacks_P_t4', 'LexicalRichness_P_t6', 'LexicalRichness_P_t4', 'SpeechRate_P_t3', 'ReactionTime_P_t5', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t4', 'Feedbacks_P_t6', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t6', 'ReactionTime_P_t6', 'ReactionTime_P_t4', 'ReactionTime_P_t3', 'UnionSocioItems_P_t5', 'IPU_I_t3', 'disc_IPU_I_t3', 'IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4']	0.5664354140133673	0.66	0.58	0.04078004514633858	0.08481328372318046	0.03243268335285804	0.6261243440777069,0.5646832367701632,0.5355810993810223,0.60092634673729,0.5611639287094823,0.5317124662516118,0.6112551072909415,0.5836455430895187,0.6119813302459478	10
